time_elapsed,bvp,baseline_cog
1.0,-18.714170274170275,baseline
2.0,-3.3742937062937055,baseline
3.0,1.341904761904762,baseline
4.0,2.0487132867132862,baseline
5.0,-0.1291774891774888,baseline
6.0,1.785020979020979,baseline
7.0,1.6997835497835494,baseline
8.0,-0.02805594405594437,baseline
9.0,1.7487012987012986,baseline
10.0,0.8186293706293707,baseline
11.0,-0.20650793650793664,baseline
12.0,-2.7472727272727275,baseline
13.0,-3.027878787878788,baseline
16.0,2.078055944055944,baseline
17.0,0.8086002886002887,baseline
18.0,-2.1155244755244755,baseline
19.0,0.7170562770562771,baseline
20.0,0.03155244755244753,baseline
21.0,3.301976911976912,baseline
22.0,-4.580111888111888,baseline
23.0,-3.2708946608946614,baseline
24.0,2.1861118881118884,baseline
25.0,3.174747474747474,baseline
26.0,-1.7972867132867132,baseline
27.0,-3.551183261183261,baseline
28.0,8.590517482517482,baseline
29.0,-0.09190476190476202,baseline
30.0,2.0889230769230767,baseline
31.0,-3.076551226551226,baseline
32.0,-0.7041818181818182,baseline
33.0,-1.3221645021645023,baseline
34.0,-6.066209790209791,baseline
35.0,5.0594227994228,baseline
36.0,-0.8705034965034965,baseline
37.0,-1.2164790764790765,baseline
38.0,0.750167832167832,baseline
39.0,1.8336507936507933,baseline
40.0,0.1784755244755247,baseline
41.0,-0.12303030303030305,baseline
42.0,-1.712993006993007,baseline
43.0,-1.480822510822511,baseline
44.0,1.3537062937062936,baseline
45.0,0.15392496392496377,baseline
46.0,-0.4863776223776222,baseline
47.0,0.9132611832611833,baseline
48.0,3.7689230769230773,baseline
49.0,-4.570678210678211,baseline
50.0,0.8641118881118882,baseline
51.0,-3.016998556998557,baseline
52.0,0.5333426573426572,baseline
53.0,0.21708513708513683,baseline
54.0,-0.6031048951048951,baseline
55.0,1.8208369408369407,baseline
56.0,-2.4017482517482516,baseline
57.0,-0.9530880230880229,baseline
58.0,3.4713846153846153,baseline
59.0,2.1664935064935062,baseline
60.0,-0.7297482517482514,baseline
61.0,-0.3277344877344881,baseline
62.0,0.5982517482517483,baseline
63.0,1.311991341991342,baseline
64.0,-4.430755244755245,baseline
65.0,0.8992929292929294,baseline
66.0,1.6163216783216783,baseline
67.0,-0.5972150072150071,baseline
68.0,0.4151888111888111,baseline
69.0,-0.7159740259740257,baseline
70.0,0.5753286713286713,baseline
71.0,-1.09998556998557,baseline
72.0,-0.7045734265734265,baseline
73.0,-1.8150505050505041,baseline
74.0,-1.4204335664335668,baseline
75.0,1.5425685425685425,baseline
76.0,3.0698601398601397,baseline
77.0,0.6571717171717173,baseline
78.0,0.026405594405594132,baseline
79.0,0.332135642135642,baseline
80.0,0.05451748251748256,baseline
81.0,-0.21300144300144286,baseline
82.0,-1.1256923076923075,baseline
83.0,1.6940115440115442,baseline
84.0,1.5596083916083914,baseline
85.0,-0.8382539682539683,baseline
86.0,-0.20581818181818176,baseline
87.0,-4.368542568542569,baseline
88.0,4.584769230769231,baseline
89.0,-1.8255699855699858,baseline
90.0,-3.9958321678321678,baseline
91.0,-0.7930591630591629,baseline
92.0,3.2674405594405598,baseline
93.0,-0.9718348902559426,baseline
94.0,0.3051384615384617,baseline
95.0,3.1596190476190475,baseline
96.0,-0.8004769230769229,baseline
97.0,-2.4126507936507937,baseline
98.0,2.653292307692308,baseline
99.0,0.40442857142857136,baseline
100.0,-1.332353846153846,baseline
101.0,-0.4664920634920634,baseline
102.0,2.390661538461538,baseline
103.0,0.9247142857142855,baseline
104.0,-3.048184615384615,baseline
105.0,1.9155873015873017,baseline
106.0,-1.0836923076923077,baseline
107.0,1.5636507936507942,baseline
108.0,2.2724153846153845,baseline
109.0,-2.340857142857143,baseline
110.0,-1.7584615384615383,baseline
111.0,-0.5474285714285714,baseline
112.0,3.5925076923076924,baseline
113.0,-1.6767460317460317,baseline
114.0,1.0166461538461542,baseline
115.0,0.6043968253968253,baseline
116.0,-2.7979076923076924,baseline
117.0,3.611345238095238,baseline
118.0,1.1768717948717946,baseline
119.0,-6.0931569664903,baseline
120.0,4.967460837887067,baseline
121.0,1.2359722222222222,baseline
122.0,-9.008673076923078,baseline
1.0,0.5580952380952379,cog
2.0,-15.469160839160839,cog
3.0,27.388124098124095,cog
4.0,-17.651748251748252,cog
5.0,17.940317460317463,cog
6.0,-12.559146853146853,cog
7.0,13.974300144300145,cog
8.0,-8.165566433566433,cog
9.0,-8.606161616161616,cog
10.0,13.90918881118881,cog
11.0,5.4543867243867235,cog
12.0,-9.78311888111888,cog
13.0,-6.583694083694084,cog
16.0,0.48911888111888097,cog
17.0,1.8633189033189035,cog
18.0,0.5936223776223776,cog
19.0,2.6868542568542564,cog
20.0,-1.5650209790209788,cog
21.0,-3.1110389610389606,cog
22.0,3.9627272727272724,cog
23.0,-0.5416450216450213,cog
24.0,3.470433566433567,cog
