time_elapsed,bvp,baseline_cog
18.6,-14.942121212121213,baseline
18.7,-8.44469696969697,baseline
18.8,6.844415584415583,baseline
18.9,10.380454545454548,baseline
19.0,12.15961038961039,baseline
19.1,4.394696969696971,baseline
19.2,9.373116883116882,baseline
19.3,3.685000000000001,baseline
19.4,-11.264090909090909,baseline
19.5,2.5081818181818183,baseline
19.6,-0.6810606060606061,baseline
19.7,-9.35121212121212,baseline
19.8,-14.016623376623375,baseline
19.9,5.179242424242424,baseline
20.0,12.387922077922077,baseline
20.1,7.329090909090909,baseline
20.2,0.7699999999999999,baseline
20.3,4.3028787878787895,baseline
20.4,-3.6530303030303033,baseline
20.5,-6.071688311688312,baseline
20.6,-0.7542424242424243,baseline
20.7,-2.467272727272729,baseline
20.8,-2.5789610389610407,baseline
20.9,-3.6159090909090916,baseline
21.0,-13.486753246753246,baseline
21.1,3.136969696969695,baseline
21.2,5.5497402597402585,baseline
21.3,20.019848484848485,baseline
21.4,24.605606060606057,baseline
21.5,11.978961038961039,baseline
21.6,7.8171212121212115,baseline
21.7,-5.908636363636362,baseline
21.8,-23.44987012987013,baseline
21.9,-31.845454545454547,baseline
22.0,-9.574805194805196,baseline
22.1,7.302575757575758,baseline
22.2,5.04909090909091,baseline
22.3,2.7277272727272734,baseline
22.4,-1.0543939393939399,baseline
22.5,-3.57961038961039,baseline
22.6,-3.3101515151515155,baseline
22.7,-4.006060606060604,baseline
22.8,9.972597402597403,baseline
22.9,6.255606060606059,baseline
23.0,-7.553376623376622,baseline
23.1,-4.687575757575757,baseline
23.2,-7.1540259740259735,baseline
23.3,-20.616818181818186,baseline
23.4,-5.089848484848485,baseline
23.5,9.356623376623377,baseline
23.6,18.42060606060606,baseline
23.7,22.61378787878788,baseline
23.8,13.707012987012986,baseline
23.9,-0.5340909090909097,baseline
24.0,-19.995454545454546,baseline
24.1,-22.408030303030305,baseline
24.2,-10.34922077922078,baseline
24.3,-6.556060606060604,baseline
24.4,7.489696969696968,baseline
24.5,26.376493506493503,baseline
24.6,19.791060606060604,baseline
24.7,7.428939393939394,baseline
24.8,-8.100129870129871,baseline
24.9,-18.98590909090909,baseline
25.0,-8.054025974025974,baseline
25.1,-3.469242424242425,baseline
25.2,-8.250000000000002,baseline
25.3,11.561818181818182,baseline
25.4,23.464848484848485,baseline
25.5,14.488051948051949,baseline
25.6,7.27590909090909,baseline
25.7,-6.640151515151515,baseline
25.8,-11.67181818181818,baseline
25.9,-8.944242424242425,baseline
26.0,-7.112597402597402,baseline
26.1,5.112727272727273,baseline
26.2,-0.4322077922077916,baseline
26.3,-3.7027272727272718,baseline
26.4,-0.4428787878787862,baseline
26.5,4.968831168831168,baseline
26.6,6.138939393939395,baseline
26.7,-8.174242424242424,baseline
26.8,-12.59909090909091,baseline
26.9,-15.363030303030307,baseline
27.0,-24.160779220779226,baseline
27.1,-5.252878787878787,baseline
27.2,1.4057142857142864,baseline
27.3,13.727272727272727,baseline
27.4,7.455909090909094,baseline
27.5,-1.3244155844155847,baseline
27.6,-0.9190909090909084,baseline
27.7,8.288030303030302,baseline
27.8,6.104285714285714,baseline
27.9,-3.6656060606060623,baseline
28.0,14.271818181818183,baseline
28.1,29.570757575757572,baseline
28.2,14.846883116883117,baseline
28.3,9.652878787878786,baseline
28.4,11.121969696969694,baseline
28.5,-3.2820779220779213,baseline
28.6,-20.123484848484846,baseline
28.7,-15.870454545454544,baseline
28.8,-6.021558441558441,baseline
