time_elapsed,eda,temp
1.0,0.9905035333333332,33.295
2.0,1.22672844,33.2918
3.0,1.4262847333333333,33.295
4.0,1.51648324,33.2898
5.0,1.5226046666666666,33.282666666666664
6.0,1.5282579200000002,33.2748
7.0,1.5365664666666667,33.26733333333333
8.0,1.54157858,33.260799999999996
9.0,1.5439098,33.260666666666665
10.0,1.5437305000000001,33.2632
11.0,1.5393414333333333,33.260666666666665
12.0,1.5386839600000002,33.2592
13.0,1.5407504666666667,33.269666666666666
16.0,1.54004204,33.2872
17.0,1.5527054,33.286
18.0,1.58164328,33.2812
19.0,1.5842987333333334,33.281333333333336
20.0,1.59324732,33.2752
21.0,1.6021873333333332,33.276666666666664
22.0,1.6161257,33.2844
23.0,1.655883633333333,33.275666666666666
24.0,1.6643814,33.266200000000005
25.0,1.6623662,33.26533333333333
26.0,1.6533405,33.2676
27.0,1.6389688,33.26233333333333
28.0,1.6398390800000002,33.263
29.0,1.6309414666666666,33.25866666666666
30.0,1.62290614,33.2524
31.0,1.6227439000000001,33.245999999999995
32.0,1.60978976,33.2456
33.0,1.5903026333333332,33.245666666666665
34.0,1.56855418,33.241
35.0,1.6012521333333332,33.239666666666665
36.0,1.58936974,33.236599999999996
37.0,1.5825619333333334,33.23533333333333
38.0,1.5758247200000002,33.232
39.0,1.5719309666666665,33.227999999999994
40.0,1.57864304,33.226
41.0,1.5865757333333332,33.223333333333336
42.0,1.58786498,33.2216
43.0,1.5839709666666666,33.225
44.0,1.57100854,33.223
45.0,1.5545109666666668,33.224666666666664
46.0,1.53043064,33.2204
47.0,1.5460566333333334,33.21633333333333
48.0,1.55361358,33.2118
49.0,1.546569,33.20633333333333
50.0,1.5376031600000002,33.2014
51.0,1.5338886333333333,33.203
52.0,1.5309172000000002,33.197
53.0,1.5203738333333334,33.19533333333333
54.0,1.50471732,33.1964
55.0,1.5032914333333334,33.19533333333333
56.0,1.5026682199999999,33.1924
57.0,1.4985524333333333,33.184000000000005
58.0,1.5074322800000002,33.1848
59.0,1.5101645333333333,33.184333333333335
60.0,1.4948801,33.1814
61.0,1.4931295666666666,33.18133333333334
62.0,1.5067530999999998,33.178399999999996
