time_elapsed,bvp,baseline_cog
9.1,707.0476836363641,baseline
9.2,292.32983116883116,baseline
9.3,94.45016393939395,baseline
9.4,57.31366454545454,baseline
9.5,49.961444155844156,baseline
9.6,75.37793272727274,baseline
9.7,169.93713484848485,baseline
9.8,922.1649922077922,baseline
9.9,150.77160030303028,baseline
10.0,205.32513246753248,baseline
10.1,31.09477393939394,baseline
10.2,164.15687575757576,baseline
10.3,36.152882424242414,baseline
10.4,86.6556378787879,baseline
10.5,566.4569116883117,baseline
10.6,32.582956969696966,baseline
10.7,121.96898939393941,baseline
10.8,469.35368095238096,baseline
10.9,72.17591303030302,baseline
11.0,75.88736233766237,baseline
11.1,377.0089042424242,baseline
11.2,528.4261194805196,baseline
11.3,31.982804848484854,baseline
11.4,30.85431424242424,baseline
11.5,54.19570865800868,baseline
11.6,218.43988363636365,baseline
11.7,94.95869696969697,baseline
11.8,276.447058008658,baseline
11.9,448.4198836363637,baseline
12.0,77.09952597402597,baseline
12.1,145.9157293939394,baseline
12.2,85.23249696969698,baseline
12.3,302.27670515151516,baseline
12.4,59.93297787878791,baseline
12.5,117.73580173160171,baseline
12.6,643.3993087878787,baseline
12.7,254.03811484848484,baseline
12.8,101.78220952380953,baseline
12.9,64.55437757575761,baseline
13.0,357.45009307359305,baseline
13.1,128.1128781818182,baseline
13.2,164.83188268398268,baseline
13.3,209.1214333333334,baseline
13.4,168.6304675757576,baseline
13.5,269.04240995671,baseline
13.6,126.35500090909092,baseline
13.7,67.62639181818182,baseline
13.8,264.67890043290043,baseline
13.9,146.03645363636358,baseline
14.0,95.94785670995665,baseline
14.1,496.51982909090907,baseline
14.2,103.62941341991345,baseline
14.3,47.667263030303026,baseline
14.4,77.70214545454543,baseline
14.5,285.36576839826836,baseline
14.6,228.7739339393939,baseline
14.7,93.92646333333332,baseline
14.8,207.5966164502164,baseline
14.9,280.0770824242424,baseline
15.0,67.71850562770561,baseline
15.1,43.43143545454546,baseline
15.2,164.27755281385276,baseline
15.3,219.74439848484846,baseline
15.4,182.57568393939394,baseline
15.5,139.61717575757578,baseline
15.6,308.01536757575764,baseline
15.7,73.97529484848484,baseline
15.8,224.05387056277053,baseline
15.9,58.73565696969697,baseline
16.0,374.4729528138528,baseline
16.1,203.63961242424247,baseline
16.2,130.65718441558442,baseline
16.3,401.7701990909091,baseline
16.4,114.11104696969697,baseline
16.5,116.45768787878788,baseline
16.6,70.93293848484849,baseline
16.7,235.04263424242427,baseline
16.8,84.43091428571428,baseline
