time_elapsed,bvp,eda,temp
1.0,0.5461897167719233,0.38278854796221223,0.8515789473684237
2.0,0.47838008882465255,0.49581421611076104,0.8495578947368436
3.0,0.5094848962675711,0.591295186790431,0.8515789473684237
4.0,0.5152000128681355,0.6344521367744856,0.8482947368421065
5.0,0.5058296036565939,0.6373810334297341,0.8437894736842075
6.0,0.5256291548320435,0.6400859249004487,0.8388210526315802
7.0,0.47575841746233605,0.6440612848724118,0.8341052631578947
8.0,0.5444305673998627,0.6464594124294505,0.8299789473684207
9.0,0.5147424167228325,0.6475748227467591,0.8298947368421032
10.0,0.4703950282881521,0.6474890337307533,0.8314947368421031
11.0,0.5237837454599955,0.6453890130362863,0.8298947368421032
12.0,0.5580309785174624,0.6450744341722773,0.8289684210526325
13.0,0.47698115612051395,0.646063188068,0.8355789473684219
14.0,0.4893057364753583,0.6450377740807748,0.8460210526315741
15.0,0.4813006108981648,0.6454912772435051,0.8454736842105284
16.0,0.5336194344192111,0.6457242297487266,0.846652631578948
17.0,0.5029099106941731,0.6517832213478862,0.845894736842105
18.0,0.5403549237497388,0.6656290230796138,0.8428631578947368
19.0,0.47885908238734015,0.6668995681354779,0.8429473684210542
20.0,0.5176188253918965,0.6711811657081351,0.8390736842105255
21.0,0.47096860609857116,0.6754586612293113,0.8399999999999999
22.0,0.5269099098657524,0.6821277006105926,0.8448842105263132
23.0,0.5097120872039854,0.7011505337343934,0.8393684210526331
24.0,0.5045073523376273,0.7052164291085242,0.833389473684214
25.0,0.5145259503832585,0.7042522237261749,0.8328421052631576
26.0,0.5021997925772536,0.6999337300186176,0.8342736842105261
27.0,0.48593740604759567,0.69305735522033,0.8309473684210502
28.0,0.525698220269205,0.6934737549127432,0.8313684210526304
29.0,0.5100082924916155,0.689216546364677,0.8286315789473662
30.0,0.48732480230256786,0.6853719129680242,0.8246736842105271
31.0,0.5270612091781011,0.6852942865878972,0.820631578947367
32.0,0.5079439667256526,0.6790961665443748,0.8203789473684218
33.0,0.5195805112087742,0.6697722322358584,0.8204210526315769
34.0,0.511971247172928,0.6593663292179088,0.8174736842105261
35.0,0.5051307099503617,0.675011199501655,0.8166315789473693
36.0,0.5049996827838913,0.6693258741705757,0.8146947368421031
37.0,0.5078185003334048,0.6660685677841162,0.813894736842105
38.0,0.5109761046869767,0.6628450379319749,0.8117894736842111
39.0,0.49898259922944443,0.6609820079986974,0.8092631578947334
40.0,0.511504359598666,0.6641935092068768,0.8079999999999998
41.0,0.4746049175193245,0.6679890360074555,0.8063157894736861
42.0,0.527356660602857,0.6686058971503575,0.8052210526315804
43.0,0.5167981738569329,0.6667427428158299,0.8073684210526331
44.0,0.518194008267501,0.6605406578811793,0.806105263157896
45.0,0.48307730415046385,0.6526471242350391,0.8071578947368394
46.0,0.5150331337230547,0.6411254983017676,0.8044631578947374
47.0,0.5248108387532185,0.6486020102492437,0.8018947368421045
