time_elapsed,bvp,gamified_or_no
0.0,-12.07475,gamified
0.1,-22.52166666666667,gamified
0.2,-23.604000000000003,gamified
0.3,-31.194666666666667,gamified
0.4,-30.410500000000003,gamified
0.5,-10.870000000000001,gamified
0.6,9.016666666666666,gamified
0.7,24.448500000000003,gamified
0.8,21.207285714285714,gamified
0.9,30.587333333333326,gamified
1.0,50.41028571428571,gamified
1.1,71.75116666666668,gamified
1.2,93.65657142857143,gamified
1.3,31.592166666666667,gamified
1.4,-64.55766666666666,gamified
1.5,-105.78514285714286,gamified
1.6,-47.32533333333333,gamified
1.7,-39.633833333333335,gamified
1.8,39.433142857142855,gamified
1.9,60.23599999999999,gamified
2.0,42.86228571428571,gamified
2.1,29.30183333333333,gamified
2.2,23.374,gamified
2.3,14.243500000000001,gamified
2.4,-3.9509999999999996,gamified
2.5,-14.021857142857144,gamified
2.6,-17.771666666666665,gamified
2.7,-6.484000000000002,gamified
2.8,-8.270857142857142,gamified
2.9,-3.9101666666666675,gamified
3.0,0.19114285714285623,gamified
3.1,8.565833333333334,gamified
3.2,5.432571428571429,gamified
3.3,-1.0626666666666662,gamified
3.4,18.624333333333333,gamified
3.5,40.453857142857146,gamified
3.6,33.74033333333334,gamified
3.7,17.656166666666667,gamified
3.8,-13.02714285714286,gamified
3.9,-30.421166666666664,gamified
4.0,-36.07628571428572,gamified
4.1,-31.94166666666667,gamified
4.2,-17.522142857142857,gamified
4.3,12.190000000000001,gamified
4.4,43.52733333333333,gamified
4.5,47.91314285714286,gamified
4.6,37.79366666666667,gamified
4.7,29.370166666666666,gamified
4.8,-6.063571428571427,gamified
4.9,-26.2135,gamified
5.0,-13.417142857142858,gamified
5.1,-11.4465,gamified
5.2,-22.970285714285716,gamified
5.3,-20.014166666666664,gamified
5.4,5.919500000000001,gamified
5.5,7.138428571428572,gamified
5.6,-1.2701666666666669,gamified
5.7,6.871,gamified
5.8,8.680428571428571,gamified
5.9,1.725333333333333,gamified
6.0,-1.5264285714285712,gamified
6.1,3.645500000000001,gamified
6.2,-0.910857142857143,gamified
6.3,12.134833333333333,gamified
6.4,22.868166666666667,gamified
6.5,17.771000000000004,gamified
6.6,8.889166666666666,gamified
6.7,-1.846333333333331,gamified
6.8,5.026714285714286,gamified
6.9,2.256499999999999,gamified
7.0,-14.669714285714287,gamified
7.1,-30.637333333333334,gamified
7.2,-19.98671428571429,gamified
7.3,-20.378666666666664,gamified
7.4,-38.8,gamified
7.5,-12.258142857142854,gamified
7.6,17.265833333333333,gamified
7.7,14.27,gamified
7.8,13.490285714285715,gamified
7.9,-6.509666666666666,gamified
8.0,-21.108714285714285,gamified
8.1,-16.6755,gamified
8.2,23.778571428571425,gamified
8.3,46.73016666666667,gamified
8.4,43.50866666666666,gamified
8.5,38.00228571428572,gamified
8.6,29.767499999999995,gamified
8.7,7.632500000000002,gamified
8.8,-24.899142857142856,gamified
8.9,-42.822833333333335,gamified
9.0,2.001,gamified
9.1,22.520000000000003,gamified
9.2,16.961428571428574,gamified
9.3,10.998000000000003,gamified
9.4,-5.272333333333331,gamified
9.5,-22.24214285714286,gamified
9.6,-38.88183333333334,gamified
9.7,-24.2595,gamified
9.8,-22.349285714285713,gamified
9.9,-10.525999999999996,gamified
10.0,6.32457142857143,gamified
10.1,6.909833333333334,gamified
10.2,-8.099,gamified
10.3,-23.737833333333334,gamified
10.4,-14.203166666666664,gamified
10.5,14.689714285714285,gamified
10.6,13.161833333333334,gamified
10.7,17.175333333333334,gamified
10.8,9.051857142857141,gamified
10.9,-11.569666666666668,gamified
11.0,-11.339,gamified
11.1,-4.438333333333331,gamified
11.2,9.943999999999999,gamified
11.3,17.3755,gamified
11.4,7.926833333333333,gamified
11.5,3.2898571428571444,gamified
11.6,-7.855166666666667,gamified
11.7,-29.824,gamified
11.8,-25.19942857142857,gamified
11.9,0.18416666666666542,gamified
12.0,35.24657142857143,gamified
12.1,55.434333333333335,gamified
12.2,44.663,gamified
12.3,48.76783333333333,gamified
12.4,39.02433333333333,gamified
12.5,30.928714285714285,gamified
12.6,18.371833333333335,gamified
12.7,-9.469333333333333,gamified
12.8,-21.891142857142857,gamified
12.9,-13.776500000000002,gamified
13.0,-27.80314285714286,gamified
13.1,-34.03066666666667,gamified
13.2,-2.9224285714285743,gamified
13.3,7.735999999999999,gamified
13.4,-16.894333333333332,gamified
13.5,-44.33085714285714,gamified
13.6,-55.855666666666664,gamified
13.7,-58.001333333333335,gamified
13.8,-22.779285714285713,gamified
13.9,13.2875,gamified
14.0,20.434714285714286,gamified
14.1,18.060000000000002,gamified
14.2,19.944285714285712,gamified
14.3,11.022000000000002,gamified
14.4,13.668166666666668,gamified
14.5,-1.6319999999999992,gamified
14.6,2.5868333333333324,gamified
14.7,-2.7968333333333333,gamified
14.8,-25.706142857142858,gamified
