time_elapsed,bvp,eda,temp
1.0,13.620285714285714,0.9905035333333332,33.295
2.0,-10.366261538461538,1.22672844,33.2918
3.0,0.6365555555555555,1.4262847333333333,33.295
4.0,2.658184615384615,1.51648324,33.2898
5.0,-0.6564444444444449,1.5226046666666666,33.282666666666664
6.0,6.347323076923077,1.5282579200000002,33.2748
7.0,-11.293634920634922,1.5365664666666667,33.26733333333333
8.0,12.998015384615385,1.54157858,33.260799999999996
9.0,2.49631746031746,1.5439098,33.260666666666665
10.0,-13.190846153846152,1.5437305000000001,33.2632
11.0,5.694539682539682,1.5393414333333333,33.260666666666665
12.0,17.80893846153846,1.5386839600000002,33.2592
13.0,-10.86111111111111,1.5407504666666667,33.269666666666666
14.0,-6.501492307692308,1.53860734,33.286199999999994
15.0,-9.333174603174603,1.5395551666666667,33.285333333333334
16.0,9.173753846153847,1.54004204,33.2872
17.0,-1.689238095238096,1.5527054,33.286
18.0,11.556323076923077,1.58164328,33.2812
19.0,-10.196825396825398,1.5842987333333334,33.281333333333336
20.0,3.513799999999999,1.59324732,33.2752
21.0,-12.987952380952382,1.6021873333333332,33.276666666666664
22.0,6.800369230769232,1.6161257,33.2844
23.0,0.7169206349206357,1.655883633333333,33.275666666666666
24.0,-1.1241692307692304,1.6643814,33.266200000000005
25.0,2.419746031746032,1.6623662,33.26533333333333
26.0,-1.9404307692307685,1.6533405,33.2676
27.0,-7.692984126984126,1.6389688,33.26233333333333
28.0,6.371753846153846,1.6398390800000002,33.263
29.0,0.8216984126984116,1.6309414666666666,33.25866666666666
30.0,-7.202215384615386,1.62290614,33.2524
31.0,6.853888888888889,1.6227439000000001,33.245999999999995
32.0,0.09147692307692364,1.60978976,33.2456
33.0,4.207714285714287,1.5903026333333332,33.245666666666665
34.0,1.5160615384615383,1.56855418,33.241
35.0,-0.9036666666666667,1.6012521333333332,33.239666666666665
36.0,-0.9500153846153847,1.58936974,33.236599999999996
37.0,0.04709523809523848,1.5825619333333334,33.23533333333333
38.0,1.164046153846153,1.5758247200000002,33.232
39.0,-3.0784603174603173,1.5719309666666665,33.227999999999994
40.0,1.350907692307692,1.57864304,33.226
